carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Limousine,Blue,Used,null,RHD,3980 Zuzwil,CH,Jaguar,1997,161400,kilometer,XJ, 4.0 Sovereign,null,null,3980,3,l/100km
Convertible / Roadster,Grey,Used,null,RHD,4244 Zuzwil,CH,Maserati,2002,63000,kilometer,SPYDER GT,Spyder GT,null,null,4244,5,l/100km
Convertible / Roadster,Orange,Used,null,RHD,6000 Zuzwil,CH,Mercedes-Benz,1992,89100,kilometer,,SL 60,null,null,6000,12,
Convertible / Roadster,Brown,Used,null,RHD,2497 Zuzwil,CH,Bmw,2008,22800,kilometer,Z4, 2.5i Roadster,null,null,2497,9,l/100km
Station Wagon,Silver,Used,null,RHD,4172 Zuzwil,CH,Audi,2002,46900,kilometer,RS6, Avant quattro,null,null,4172,10,l/100km
Limousine,Black,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2003,121900,kilometer,S 55 AMG,S 55 AMG,null,null,5439,3,l/100km
Subcompact,Black,Used,null,RHD,1397 Zuzwil,CH,Renault,1983,159700,kilometer,R5, 1400 Alpine Turbo,null,null,1397,12,
Other,Black,Used,null,RHD,4163 Zuzwil,CH,Audi,2008,67700,kilometer,S5, Coupé 4.2 FSI quattro,null,null,4163,5,l/100km
Limousine,Silver,Used,null,RHD,1994 Zuzwil,CH,Lancia,1978,57000,kilometer,,Monte Carlo 137 AS,null,null,1994,7,
SUV,Silver,Used,null,RHD,3996 Zuzwil,CH,Mercedes-Benz,2002,87800,kilometer,ML 400, CDI,null,null,3996,11,l/100km
Other,Black,Used,null,RHD,4966 Zuzwil,CH,Mercedes-Benz,2001,27800,kilometer,CL 500,CL 500,null,null,4966,1,l/100km
Other,Black,Used,null,RHD,5984 Zuzwil,CH,Mercedes-Benz,1995,62000,kilometer,S 600,S 600,null,null,5984,6,
Limousine,Black,Used,null,RHD,6209 Zuzwil,CH,Mercedes-Benz,2008,45600,kilometer,S 63 AMG, L,null,null,6209,8,l/100km
Limousine,Yellow,Used,null,RHD,2461 Zuzwil,CH,Mercedes-Benz,1991,89700,kilometer,190, E 2.5-16 Evo II ABS,null,null,2461,7,
Subcompact,Blue,Used,null,RHD,993 Zuzwil,CH,Daihatsu,1985,61800,kilometer,CHARADE, 1.0 Turbo,null,null,993,9,
Other,Black,Used,null,RHD,4395 Zuzwil,CH,Bmw,2012,29600,kilometer,M6,M6,null,null,4395,10,
Convertible / Roadster,Black,Demo car,null,RHD,1796 Zuzwil,CH,Mercedes-Benz,2007,300,kilometer,SLK 200, Kompressor,null,null,1796,10,l/100km
Convertible / Roadster,Black,Used,null,RHD,3163 Zuzwil,CH,Porsche,1984,137700,kilometer,911, Carrera Cabrio,null,null,3163,12,
Convertible / Roadster,Other,Used,null,RHD,3246 Zuzwil,CH,Bmw,2001,46000,kilometer,M3,M3,null,null,3246,3,l/100km
Station Wagon,Anthracite,Used,null,RHD,4172 Zuzwil,CH,Audi,2002,38500,kilometer,RS6, Avant quattro,null,null,4172,10,l/100km
Other,Black,Used,null,RHD,5707 Zuzwil,CH,Lamborghini,1997,55000,kilometer,DIABLO, 5.7,null,null,5707,4,
Other,Black,Used,null,RHD,6208 Zuzwil,CH,Mercedes-Benz,2011,23000,kilometer,SLS 63, AMG,null,null,6208,7,l/100km
Station Wagon,Black,Used,null,RHD,4966 Zuzwil,CH,Mercedes-Benz,2004,123300,kilometer,E 500, Avantgarde,null,null,4966,4,l/100km
Limousine,Blue,Used,null,RHD,3428 Zuzwil,CH,Bmw-Alpina,1986,199300,kilometer,5 SERIES,B7 TURBO,null,null,3428,5,
Other,Silver,Used,null,RHD,5980 Zuzwil,CH,Mercedes-Benz,2009,34000,kilometer,SL 65 AMG,BLACK SERIES,null,null,5980,7,
Other,Green,Used,null,RHD,1294 Zuzwil,CH,Simca,1976,18200,kilometer,,Rallye2,null,null,1294,11,
Convertible / Roadster,Blue,Used,null,RHD,5513 Zuzwil,CH,Mercedes-Benz,2003,32500,kilometer,SL 600,SL 600,null,null,5513,5,l/100km
SUV,Black,Used,null,RHD,4511 Zuzwil,CH,Porsche,2004,69500,kilometer,CAYENNE, Turbo,null,null,4511,11,l/100km
Other,White,Used,null,RHD,5786 Zuzwil,CH,Mercedes-Benz,2000,94000,kilometer,CL 600,CL 600,null,null,5786,11,l/100km
Other,Blue,Used,null,RHD,3600 Zuzwil,CH,Porsche,2002,132600,kilometer,911, Turbo,null,null,3600,3,l/100km
Other,Black,Used,null,RHD,3600 Zuzwil,CH,Porsche,2001,16300,kilometer,911,GTR (GT3),null,null,3600,4,
Limousine,Blue,Used,null,RHD,4806 Zuzwil,CH,Porsche,2010,26800,kilometer,PANAMERA, Turbo 4.8,null,null,4806,1,l/100km
Other,Other,New,null,RHD,3800 Zuzwil,CH,Porsche,2015,100,kilometer,911, Turbo S,null,null,3800,1,l/100km
Station Wagon,Silver,Used,null,RHD,2799 Zuzwil,CH,Mercedes-Benz,1997,62500,kilometer,C 280, Elégance,null,null,2799,6,l/100km
Convertible / Roadster,Blue,Used,null,RHD,2198 Zuzwil,CH,Opel,2004,9000,kilometer,SPEEDSTER, 2.2 16V,null,null,2198,6,l/100km
Convertible / Roadster,Grey,Used,null,RHD,5998 Zuzwil,CH,Bentley,2007,58000,kilometer,CONTINENTAL, GTC 6.0,null,null,5998,2,l/100km
